"",Office sites Auto services,,Total tonnes CO2e
Scope 1,"1,881","7,518","9,3991"
"",Office sites Auto services,,Total tonnes CO2e
"",Location-based Market-based Location-based,Market-based,Location-based Market-based
Scope 2,"4,516 0 2,093",0,"6,609 0"
Total Scope 2,"4,516","2,093","6,609"
"",Office sites Auto services,,Total tonnes CO2e
Total Scope 1&2,"6,397","9,611","16,008"
"",,,Total tonnes CO2e
Scope 3 under our direct control,,,
Fuel and energy related activities,,,"2,465"
Waste generated in operations,,,"1,245"
Business travel – air travel,,,928
Business travel – hotel night stays,,,469
Business travel – rail,,,410
Employee commuting2,,,"4,599"
Upstream leased assets3,,,513
Upstream transportation and distribution of auctioned vehicles,,,912
Total Scope 3 under our direct control,,,"11,541"
